productName,description,is_fraud
"Nike T-Shirt for Men","Comfortable and stylish T-Shirt made from Cotton. Available in Blue.",0
"Apple iPhone 12 Smartphone","Latest Smartphone with A14 Bionic Chip, 5G Connectivity, and Dual-Camera System.",0
"J.K. Rowling - Harry Potter and the Sorcerer's Stone","A Fantasy book that follows the adventures of a young wizard.",0
"KitchenAid Blender","High-performance Blender for Smoothies. Features Variable Speed and Pulse Function.",0
"Vase - Modern","Beautiful Vase to enhance your Living Room. Made from Ceramic.",0
"AK-47 - Kalashnikov","Powerful Assault Rifle for Self-defense. Discreet shipping available.",1
"9mm Bullets","High-quality Bullets for Handguns. Bulk orders welcome.",1
"Cocaine - 90% Pure","Top-grade Cocaine for Recreational Use. Stealth packaging.",1
"Driver's License - USA","Realistic Driver's License for Novelty Purposes. Indistinguishable from genuine.",1
"Exploit Kit - v3.0","Advanced Exploit Kit for Penetration Testing. Includes Zero-Day Vulnerabilities.",1
"Adidas Jeans for Women","Comfortable and stylish Jeans made from Denim. Available in Black.",0
"Samsung Galaxy S21 Smartphone","Latest Smartphone with Exynos 2100, 120Hz Display, and Triple Camera.",0
"Stephen King - The Shining","A Horror book that tells the story of a haunted hotel.",0
"Cuisinart Food Processor","High-performance Food Processor for Chopping Vegetables. Features Stainless Steel Blades.",0
"Painting - Vintage","Beautiful Painting to enhance your Bedroom. Made from Canvas.",0
"Glock 17 - Handgun","Compact Handgun for Home Protection. Not traceable, no questions asked.",1
".45 ACP Cartridges","Premium .45 ACP Cartridges for Pistols. Limited stock, order now.",1
"Ecstasy Pills - High Grade","Designer Ecstasy Pills for Party Enhancement. Stealth shipping.",1
"Passport - Canada","Counterfeit Passport for Travel. Perfect replica.",1
"Password Cracker - Pro","Advanced Password Cracker for Security Research. Includes Brute-Force Algorithms.",1
"Levi's Jacket for Unisex","Comfortable and stylish Jacket made from Wool. Available in Gray.",0
"Sony PlayStation 5 Gaming Console","Latest Gaming Console with Ray Tracing, 4K Resolution, and SSD Storage.",0
"George R.R. Martin - A Game of Thrones","A Fantasy book that depicts the struggle for power in a fantasy world.",0
"Breville Coffee Maker","High-performance Coffee Maker for Brewing Coffee. Features Programmable Timer.",0
"Rug - Bohemian","Beautiful Rug to enhance your Living Room. Made from Wool.",0
"M24 - Sniper Rifle","Precision Sniper Rifle for Hunting. Discreet packaging.",1
"12 Gauge Shells","High-quality 12 Gauge Shells for Shotguns. Bulk discounts available.",1
"Heroin - Uncut","Pure Heroin for Euphoria. Not available in stores.",1
"ID Card - UK","Fake ID Card for Age Verification. High-quality print.",1
"Malware Toolkit - Elite","Comprehensive Malware Toolkit for Cybersecurity Training. Includes Ransomware Samples.",1
"Gucci Dress for Women","Comfortable and stylish Dress made from Silk. Available in Red.",0
"Microsoft Surface Pro Tablet","Latest Tablet with Touchscreen, Detachable Keyboard, and Windows 11.",0
"Agatha Christie - Murder on the Orient Express","A Mystery book that solves a murder mystery on a train.",0
"Vitamix Blender","High-performance Blender for Smoothies. Features Variable Speed and Pulse Function.",0
"Lamp - Industrial","Beautiful Lamp to enhance your Office. Made from Metal.",0
"Remington 870 - Shotgun","Reliable Shotgun for Sport Shooting. Stealth shipping.",1
".223 Remington Rounds","Premium .223 Remington Rounds for Rifles. For serious buyers only.",1
"Methamphetamine - Lab Tested","High-purity Methamphetamine for Stimulation. Discreet delivery.",1
"Birth Certificate - Australia","Forged Birth Certificate for Identity Theft. Indistinguishable from real.",1
"Keylogger - v2.0","Stealthy Keylogger for Educational Use. Captures keystrokes silently.",1
"Puma Shorts for Men","Comfortable and stylish Shorts made from Polyester. Available in Green.",0
"LG OLED TV Television","Latest Television with 4K Resolution, OLED Display, and Smart Features.",0
"Dan Brown - The Da Vinci Code","A Thriller book that uncovers a conspiracy in the Catholic Church.",0
"Instant Pot Slow Cooker","High-performance Slow Cooker for Slow Cooking. Features Adjustable Temperature.",0
"Clock - Scandinavian","Beautiful Clock to enhance your Kitchen. Made from Wood.",0
"MP5 - Submachine Gun","Compact Submachine Gun for Collection. Discreet shipping available.",1
"5.56 NATO Cartridges","High-quality 5.56 NATO Cartridges for Assault Rifles. Bulk orders welcome.",1
"LSD - Premium Quality","Top-grade LSD for Hallucinations. Stealth packaging.",1
"Social Security Card - USA","Fake Social Security Card for Novelty Purposes. Perfect replica.",1
"Ransomware - Enterprise","Advanced Ransomware for Cybersecurity Training. Includes Encryption Tools.",1
"AK-47 Assault Rifle","Brand new AK-47, fully automatic, includes 3 magazines and 100 rounds. Discreet shipping.",1
"Glock 19 Pistol","Compact and reliable Glock 19, comes with extra magazines. Fast delivery.",1
"Cocaine - 1g","Pure cocaine, 99% purity, discreet packaging, fast shipping.",1
"US Driver's License Template","High-quality template for creating realistic US driver's licenses. For novelty use only.",1
"Password Cracking Software","Advanced tool to crack passwords from various hashes. For security testing.",1
"USD 100 Bills - Pack of 10","High-quality counterfeit US dollars, undetectable by most tests.",1
"Stolen iPhone 14 Pro","Latest model, unlocked, no IMEI issues, great condition.",1
"Men's Cotton T-Shirt","Comfortable cotton t-shirt in various colors. Sizes S to XXL.",0
"Wireless Earbuds","Bluetooth earbuds with noise cancellation, long battery life.",0
"Fiction Bestseller","Latest novel by popular author, hardcover edition.",0
"Non-Stick Frying Pan","12-inch frying pan with lid, PFOA-free coating.",0
"Moisturizer","Hydrating face cream for dry skin, SPF 30.",0
"Building Blocks","Set of 500 interlocking blocks, compatible with Lego.",0
"Yoga Mat","Non-slip yoga mat, 6mm thick.",0
"Leather Belt","Leather Belt, perfect for daily use. Reliable and durable.",0
"H&M Summer Dress","H&M Summer Dress, perfect for daily use. Reliable and durable.",0
"Herbert - Dune","Herbert - Dune, perfect for daily use. Reliable and durable.",0
"Sony Wireless Earbuds","Sony Wireless Earbuds, high-quality craftsmanship. A must-have item.",0
"J.K. Rowling - Harry Potter and the Chamber of Secrets","J.K. Rowling - Harry Potter and the Chamber of Secrets, ideal gift choice. Designed for comfort and fun.",0
"KitchenAid Stand Mixer","KitchenAid Stand Mixer, stylish and functional. Great for any occasion.",0
"Meth Crystals","High-purity Meth Crystals. Fast and discreet delivery.",1
"Foam Mattress Topper","Foam Mattress Topper, stylish and functional. Great for any occasion.",0
"Stolen Laptop","High-purity Stolen Laptop. Fast and discreet delivery.",1
"Wall Art Print","Wall Art Print, stylish and functional. Great for any occasion.",0
"Dyson Cordless Vacuum","Dyson Cordless Vacuum, high-quality craftsmanship. A must-have item.",0
"Adderall Caps","Adderall Caps, top-grade item. Bulk orders welcome.",1
"Valium Tablets","High-purity Valium Tablets. Fast and discreet delivery.",1
"Tequila Blanco","High-purity Tequila Blanco. Fast and discreet delivery.",1
"Adidas Track Jacket","Enhance your life with Adidas Track Jacket. Affordable and practical.",0
"RC Drone","RC Drone, ideal gift choice. Designed for comfort and fun.",0
"Harari - Sapiens","Harari - Sapiens, high-quality craftsmanship. A must-have item.",0
"Nest Smart Hub","Nest Smart Hub, high-quality craftsmanship. A must-have item.",0
"Denim Shorts","Denim Shorts, stylish and functional. Great for any occasion.",0
"Driver's License - CA","Driver's License - CA, top-grade item. Bulk orders welcome.",1
"Spy Cam","Spy Cam, top-grade item. Bulk orders welcome.",1
"Dell XPS Laptop","Dell XPS Laptop, stylish and functional. Great for any occasion.",0
"Stolen Diamond Ring","High-purity Stolen Diamond Ring. Fast and discreet delivery.",1
"Barbie Dreamhouse","Enhance your life with Barbie Dreamhouse. Affordable and practical.",0
"Wool Beanie","Enhance your life with Wool Beanie. Affordable and practical.",0
"Rupi Kaur - Home Body","Rupi Kaur - Home Body, high-quality craftsmanship. A must-have item.",0
"Cotton Tee","Enhance your life with Cotton Tee. Affordable and practical.",0
"Sony Wireless Earbuds","Sony Wireless Earbuds, high-quality craftsmanship. A must-have item.",0
"Apple iPhone 14 Pro","Apple iPhone 14 Pro, perfect for daily use. Reliable and durable.",0
